Group, Type, String, Lev, Asch
1,EXC,VMMSSSM,3,1.36
1,EXC,XRRXM,2,0.14
1,EXC,VRXRM,3,0.86
1,EXC,XVSRRM,2,1.33
1,EXC,VXXXRM,3,0.33
1,EXC,XVRMRMM,4,0.0
1,EXC,VSSSXRM,2,2.36
1,EXC,XMRSM,2,2.43
1,EXC,VVVMM,2,0.57
1,EXC,XSRRVM,2,0.67
1,EXC,VSVRVM,1,3.11
1,EXC,XRMMXXM,2,0.55
1,EXC,VXVXMXM,3,0.09
1,EXC,XXVSM,2,1.71
1,EXC,VXSSM,2,0.43
1,EXC,XRVXSM,3,0.11
1,EXC,VXSVVM,2,0.44
1,EXC,XVXRMVM,2,1.0
1,EXC,VRVXMRM,4,0.09
1,EXC,XXXMM,2,0.86
1,EXC,VRVRM,2,0.14
1,EXC,XXVVMM,2,0.67
1,EXC,VRMRXM,3,0.0
1,EXC,XMRRRSM,2,1.64
1,EXC,VVRSXSM,2,0.91
1,EXC,XVXXM,2,0.14
1,EXC,VSVMM,1,2.86
1,EXC,XRRMMM,3,0.0
1,EXC,VVVRSM,2,1.56
1,EXC,XRMXRMM,2,0.91
1,EXC,VVRVRVM,2,1.36
1,EXC,XMMXM,0,4.86
1,EXC,VVRXM,2,0.71
1,EXC,XSXSRM,3,0.33
1,EXC,VRMXSM,3,0.56
1,EXC,XVVXRSM,3,1.0
1,EXC,VXXXMRM,4,0.09
1,EXC,XXXRM,2,1.71
1,EXC,VMXRM,2,2.57
1,EXC,XRMSXM,2,0.0
1,EXC,VRRXSM,3,0.11
1,EXC,XMRXVRM,3,1.09
1,EXC,VVXRSSM,2,2.55
1,EXC,XXXSM,2,1.0
1,EXC,VSMMM,2,1.71
1,EXC,XSRRRM,3,0.0
1,EXC,VSSSXM,1,2.67
1,EXC,XVRSSSM,2,1.45
1,EXC,VVVRSXM,2,1.18
1,EXC,XVRXM,2,0.14
1,EXC,VXXRM,2,0.86
1,EXC,XSSVSM,1,2.33
1,EXC,VMVXXM,3,0.0
1,EXC,XVXSSVM,2,1.73
1,EXC,VXXSVRM,3,0.27
2,INC,XSSSM,2,1.43
2,INC,VSVXM,1,3.0
2,INC,XVSMVM,2,0.56
2,INC,VSVMSM,1,2.33
2,INC,XSMMMXM,1,0.18
2,INC,VMVSSSM,3,1.18
2,INC,XMVSM,2,2.57
2,INC,VSRRM,2,1.43
2,INC,XVXSXM,3,0.0
2,INC,VRXSRM,3,0.33
2,INC,XRXVVSM,2,0.91
2,INC,VVSXMRM,3,1.18
2,INC,XRSVM,1,0.43
2,INC,VSRVM,1,1.71
2,INC,XXRSVM,0,3.44
2,INC,VSVSVM,1,3.56
2,INC,XMXRSVM,0,5.91
2,INC,VSSVSVM,1,4.36
2,INC,XXSRM,2,1.43
2,INC,VSRVM,1,1.71
2,INC,XSRRRM,3,0.0
2,INC,VVXMMM,3,0.44
2,INC,XXSRVMM,2,1.64
2,INC,VXSVXRM,3,0.45
2,INC,XVRXM,2,0.14
2,INC,VSSVM,0,3.71
2,INC,XMMMXM,0,3.56
2,INC,VXRSSM,2,2.33
2,INC,XMMMRXM,1,2.55
2,INC,VSSVRVM,1,3.18
2,INC,XVSSM,2,1.0
2,INC,VXSVM,1,0.43
2,INC,XVSSSM,2,1.11
2,INC,VSSXRM,2,2.56
2,INC,XVSRSSM,2,2.55
2,INC,VSSXVRM,2,1.82
2,INC,XRSVM,1,0.43
2,INC,VSSVM,0,3.71
2,INC,XMXVMM,2,2.67
2,INC,VRXSVM,2,0.44
2,INC,XMMVXRM,2,2.36
2,INC,VSXVRXM,3,0.91
2,INC,XMMXM,0,4.86
2,INC,VVSVM,1,2.14
2,INC,XMRSVM,1,2.33
2,INC,VVXSSM,3,0.89
2,INC,XRSMSVM,2,1.27
2,INC,VVVRVRM,2,0.82
2,INC,XVSSM,2,1.0
2,INC,VXXSM,2,0.14
2,INC,XVSSVM,1,1.33
2,INC,VSSVSM,0,4.0
2,INC,XXMSSVM,1,2.27
2,INC,VVSXSMM,2,1.18
2,INC,XSSVM,1,1.57
2,INC,VXVSM,1,0.86
2,INC,XVXSSM,3,0.44
2,INC,VXSSVM,1,0.89
2,INC,XSSVSVM,2,3.0
2,INC,VXVRSSM,3,1.45
2,INC,XVMSM,2,0.14
2,INC,VSRVM,1,1.71
2,INC,XRVSSM,3,0.89
2,INC,VXSRRM,2,0.44
2,INC,XVSSVRM,2,1.0
2,INC,VXRXSRM,3,1.0
2,INC,XRRRM,2,0.0
2,INC,VSVSM,0,4.29
2,INC,XSSRMM,3,1.0
2,INC,VSVSRM,1,3.78
2,INC,XSRVMRM,3,0.18
2,INC,VSRVSSM,2,2.18
2,INC,XVXSM,3,0.14
